prompts,template,temp_idx
A female laughing and a male playing.,per-act-con-per-act,t2
A female laughing and a male jumping.,per-act-con-per-act,t2
A female laughing and a male writing.,per-act-con-per-act,t2
A female crying and a male walking.,per-act-con-per-act,t2
A female crying and a male standing.,per-act-con-per-act,t2
A female crying and a male lying down.,per-act-con-per-act,t2
A female crying and a male cycling.,per-act-con-per-act,t2
A female crying and a male eating.,per-act-con-per-act,t2
A female crying and a male laughing.,per-act-con-per-act,t2
A female crying and a male sitting.,per-act-con-per-act,t2
A female crying and a male playing.,per-act-con-per-act,t2
A female crying and a male jumping.,per-act-con-per-act,t2
A female crying and a male writing.,per-act-con-per-act,t2
A female playing and a male walking.,per-act-con-per-act,t2
A female playing and a male standing.,per-act-con-per-act,t2
A female playing and a male lying down.,per-act-con-per-act,t2
A female playing and a male cycling.,per-act-con-per-act,t2
A female playing and a male eating.,per-act-con-per-act,t2
A female playing and a male laughing.,per-act-con-per-act,t2
A female playing and a male crying.,per-act-con-per-act,t2
A female playing and a male sitting.,per-act-con-per-act,t2
A female playing and a male jumping.,per-act-con-per-act,t2
A female playing and a male writing.,per-act-con-per-act,t2
A female jumping and a male walking.,per-act-con-per-act,t2
A female jumping and a male standing.,per-act-con-per-act,t2
A female jumping and a male lying down.,per-act-con-per-act,t2
A female jumping and a male cycling.,per-act-con-per-act,t2
A female jumping and a male eating.,per-act-con-per-act,t2
A female jumping and a male laughing.,per-act-con-per-act,t2
A female jumping and a male crying.,per-act-con-per-act,t2
A female jumping and a male playing.,per-act-con-per-act,t2
A female jumping and a male sitting.,per-act-con-per-act,t2
A female jumping and a male writing.,per-act-con-per-act,t2
A female writing and a male walking.,per-act-con-per-act,t2
A female writing and a male standing.,per-act-con-per-act,t2
A female writing and a male lying down.,per-act-con-per-act,t2
A female writing and a male cycling.,per-act-con-per-act,t2
A female writing and a male eating.,per-act-con-per-act,t2
A female writing and a male laughing.,per-act-con-per-act,t2
A female writing and a male crying.,per-act-con-per-act,t2
A female writing and a male playing.,per-act-con-per-act,t2
A female writing and a male jumping.,per-act-con-per-act,t2
A female writing and a male sitting.,per-act-con-per-act,t2
A girl walking and a boy sitting.,per-act-con-per-act,t2
A girl walking and a boy standing.,per-act-con-per-act,t2
A girl walking and a boy lying down.,per-act-con-per-act,t2
A girl walking and a boy cycling.,per-act-con-per-act,t2
A girl walking and a boy eating.,per-act-con-per-act,t2
A girl walking and a boy laughing.,per-act-con-per-act,t2
A girl walking and a boy crying.,per-act-con-per-act,t2
A girl walking and a boy playing.,per-act-con-per-act,t2
A girl walking and a boy jumping.,per-act-con-per-act,t2
A girl walking and a boy writing.,per-act-con-per-act,t2
A girl sitting and a boy walking.,per-act-con-per-act,t2
A girl sitting and a boy standing.,per-act-con-per-act,t2
A girl sitting and a boy lying down.,per-act-con-per-act,t2
A girl sitting and a boy cycling.,per-act-con-per-act,t2
A girl sitting and a boy eating.,per-act-con-per-act,t2
A girl sitting and a boy laughing.,per-act-con-per-act,t2
A girl sitting and a boy crying.,per-act-con-per-act,t2
A girl sitting and a boy playing.,per-act-con-per-act,t2
A girl sitting and a boy jumping.,per-act-con-per-act,t2
A girl sitting and a boy writing.,per-act-con-per-act,t2
A girl standing and a boy walking.,per-act-con-per-act,t2
A girl standing and a boy sitting.,per-act-con-per-act,t2
A girl standing and a boy lying down.,per-act-con-per-act,t2
A girl standing and a boy cycling.,per-act-con-per-act,t2
A girl standing and a boy eating.,per-act-con-per-act,t2
A girl standing and a boy laughing.,per-act-con-per-act,t2
A girl standing and a boy crying.,per-act-con-per-act,t2
A girl standing and a boy playing.,per-act-con-per-act,t2
A girl standing and a boy jumping.,per-act-con-per-act,t2
A girl standing and a boy writing.,per-act-con-per-act,t2
A girl lying down and a boy walking.,per-act-con-per-act,t2
A girl lying down and a boy standing.,per-act-con-per-act,t2
A girl lying down and a boy sitting.,per-act-con-per-act,t2
A girl lying down and a boy cycling.,per-act-con-per-act,t2
A girl lying down and a boy eating.,per-act-con-per-act,t2
A girl lying down and a boy laughing.,per-act-con-per-act,t2
A girl lying down and a boy crying.,per-act-con-per-act,t2
A girl lying down and a boy playing.,per-act-con-per-act,t2
A girl lying down and a boy jumping.,per-act-con-per-act,t2
A girl lying down and a boy writing.,per-act-con-per-act,t2
A girl cycling and a boy walking.,per-act-con-per-act,t2
A girl cycling and a boy standing.,per-act-con-per-act,t2
A girl cycling and a boy lying down.,per-act-con-per-act,t2
A girl cycling and a boy sitting.,per-act-con-per-act,t2
A girl cycling and a boy eating.,per-act-con-per-act,t2
A girl cycling and a boy laughing.,per-act-con-per-act,t2
A girl cycling and a boy crying.,per-act-con-per-act,t2
A girl cycling and a boy playing.,per-act-con-per-act,t2
A girl cycling and a boy jumping.,per-act-con-per-act,t2
A girl cycling and a boy writing.,per-act-con-per-act,t2
A girl eating and a boy walking.,per-act-con-per-act,t2
A girl eating and a boy standing.,per-act-con-per-act,t2
A girl eating and a boy lying down.,per-act-con-per-act,t2
A girl eating and a boy cycling.,per-act-con-per-act,t2
A girl eating and a boy sitting.,per-act-con-per-act,t2
A girl eating and a boy laughing.,per-act-con-per-act,t2
A girl eating and a boy crying.,per-act-con-per-act,t2
A girl eating and a boy playing.,per-act-con-per-act,t2
A girl eating and a boy jumping.,per-act-con-per-act,t2
A girl eating and a boy writing.,per-act-con-per-act,t2
A girl laughing and a boy walking.,per-act-con-per-act,t2
A girl laughing and a boy standing.,per-act-con-per-act,t2
A girl laughing and a boy lying down.,per-act-con-per-act,t2
A girl laughing and a boy cycling.,per-act-con-per-act,t2
A girl laughing and a boy eating.,per-act-con-per-act,t2
A girl laughing and a boy sitting.,per-act-con-per-act,t2
A girl laughing and a boy crying.,per-act-con-per-act,t2
A girl laughing and a boy playing.,per-act-con-per-act,t2
A girl laughing and a boy jumping.,per-act-con-per-act,t2
A girl laughing and a boy writing.,per-act-con-per-act,t2
A girl crying and a boy walking.,per-act-con-per-act,t2
A girl crying and a boy standing.,per-act-con-per-act,t2
A girl crying and a boy lying down.,per-act-con-per-act,t2
A girl crying and a boy cycling.,per-act-con-per-act,t2
A girl crying and a boy eating.,per-act-con-per-act,t2
A girl crying and a boy laughing.,per-act-con-per-act,t2
A girl crying and a boy sitting.,per-act-con-per-act,t2
A girl crying and a boy playing.,per-act-con-per-act,t2
A girl crying and a boy jumping.,per-act-con-per-act,t2
A girl crying and a boy writing.,per-act-con-per-act,t2
A girl playing and a boy walking.,per-act-con-per-act,t2
A girl playing and a boy standing.,per-act-con-per-act,t2
A girl playing and a boy lying down.,per-act-con-per-act,t2
A girl playing and a boy cycling.,per-act-con-per-act,t2
A girl playing and a boy eating.,per-act-con-per-act,t2
A girl playing and a boy laughing.,per-act-con-per-act,t2
A girl playing and a boy crying.,per-act-con-per-act,t2
A girl playing and a boy sitting.,per-act-con-per-act,t2
A girl playing and a boy jumping.,per-act-con-per-act,t2
A girl playing and a boy writing.,per-act-con-per-act,t2
A girl jumping and a boy walking.,per-act-con-per-act,t2
A girl jumping and a boy standing.,per-act-con-per-act,t2
A girl jumping and a boy lying down.,per-act-con-per-act,t2
A girl jumping and a boy cycling.,per-act-con-per-act,t2
A girl jumping and a boy eating.,per-act-con-per-act,t2
A girl jumping and a boy laughing.,per-act-con-per-act,t2
A girl jumping and a boy crying.,per-act-con-per-act,t2
A girl jumping and a boy playing.,per-act-con-per-act,t2
A girl jumping and a boy sitting.,per-act-con-per-act,t2
A girl jumping and a boy writing.,per-act-con-per-act,t2
A girl writing and a boy walking.,per-act-con-per-act,t2
A girl writing and a boy standing.,per-act-con-per-act,t2
A girl writing and a boy lying down.,per-act-con-per-act,t2
A girl writing and a boy cycling.,per-act-con-per-act,t2
A girl writing and a boy eating.,per-act-con-per-act,t2
A girl writing and a boy laughing.,per-act-con-per-act,t2
A girl writing and a boy crying.,per-act-con-per-act,t2
A girl writing and a boy playing.,per-act-con-per-act,t2
A girl writing and a boy jumping.,per-act-con-per-act,t2
A girl writing and a boy sitting.,per-act-con-per-act,t2
A person walking and a person sitting.,per-act-con-per-act,t2
A person walking and a person standing.,per-act-con-per-act,t2
A person walking and a person lying down.,per-act-con-per-act,t2
A person walking and a person cycling.,per-act-con-per-act,t2
A person walking and a person eating.,per-act-con-per-act,t2
A person walking and a person laughing.,per-act-con-per-act,t2
A person walking and a person crying.,per-act-con-per-act,t2
A person walking and a person playing.,per-act-con-per-act,t2
A person walking and a person jumping.,per-act-con-per-act,t2
A person walking and a person writing.,per-act-con-per-act,t2
A person sitting and a person standing.,per-act-con-per-act,t2
A person sitting and a person lying down.,per-act-con-per-act,t2
A person sitting and a person cycling.,per-act-con-per-act,t2
A person sitting and a person eating.,per-act-con-per-act,t2
A person sitting and a person laughing.,per-act-con-per-act,t2
A person sitting and a person crying.,per-act-con-per-act,t2
A person sitting and a person playing.,per-act-con-per-act,t2
A person sitting and a person jumping.,per-act-con-per-act,t2
A person sitting and a person writing.,per-act-con-per-act,t2
A person standing and a person lying down.,per-act-con-per-act,t2
A person standing and a person cycling.,per-act-con-per-act,t2
A person standing and a person eating.,per-act-con-per-act,t2
A person standing and a person laughing.,per-act-con-per-act,t2
A person standing and a person crying.,per-act-con-per-act,t2
A person standing and a person playing.,per-act-con-per-act,t2
A person standing and a person jumping.,per-act-con-per-act,t2
A person standing and a person writing.,per-act-con-per-act,t2
A person lying down and a person cycling.,per-act-con-per-act,t2
A person lying down and a person eating.,per-act-con-per-act,t2
A person lying down and a person laughing.,per-act-con-per-act,t2
A person lying down and a person crying.,per-act-con-per-act,t2
A person lying down and a person playing.,per-act-con-per-act,t2
A person lying down and a person jumping.,per-act-con-per-act,t2
A person lying down and a person writing.,per-act-con-per-act,t2
A person cycling and a person eating.,per-act-con-per-act,t2
A person cycling and a person laughing.,per-act-con-per-act,t2
A person cycling and a person crying.,per-act-con-per-act,t2
A person cycling and a person playing.,per-act-con-per-act,t2
A person cycling and a person jumping.,per-act-con-per-act,t2
A person cycling and a person writing.,per-act-con-per-act,t2
A person eating and a person laughing.,per-act-con-per-act,t2
A person eating and a person crying.,per-act-con-per-act,t2
A person eating and a person playing.,per-act-con-per-act,t2
A person eating and a person jumping.,per-act-con-per-act,t2
A person eating and a person writing.,per-act-con-per-act,t2
A person laughing and a person crying.,per-act-con-per-act,t2
A person laughing and a person playing.,per-act-con-per-act,t2
A person laughing and a person jumping.,per-act-con-per-act,t2
A person laughing and a person writing.,per-act-con-per-act,t2
A person crying and a person playing.,per-act-con-per-act,t2
A person crying and a person jumping.,per-act-con-per-act,t2
A person crying and a person writing.,per-act-con-per-act,t2
A person playing and a person jumping.,per-act-con-per-act,t2
A person playing and a person writing.,per-act-con-per-act,t2
A person jumping and a person writing.,per-act-con-per-act,t2
A rubber man.,text-per,t3
A plastic man.,text-per,t3
A metallic man.,text-per,t3
A wooden man.,text-per,t3
A fluffy man.,text-per,t3
A glass man.,text-per,t3
A leather man.,text-per,t3
A rubber woman.,text-per,t3
A plastic woman.,text-per,t3
A metallic woman.,text-per,t3
A wooden woman.,text-per,t3
A fluffy woman.,text-per,t3
A glass woman.,text-per,t3
A leather woman.,text-per,t3
A rubber male.,text-per,t3
A plastic male.,text-per,t3
A metallic male.,text-per,t3
A wooden male.,text-per,t3
A fluffy male.,text-per,t3
A glass male.,text-per,t3
A leather male.,text-per,t3
A rubber female.,text-per,t3
A plastic female.,text-per,t3
A metallic female.,text-per,t3
A wooden female.,text-per,t3
A fluffy female.,text-per,t3
A glass female.,text-per,t3
A leather female.,text-per,t3
A rubber boy.,text-per,t3
A plastic boy.,text-per,t3
A metallic boy.,text-per,t3
A wooden boy.,text-per,t3
A fluffy boy.,text-per,t3
A glass boy.,text-per,t3
A leather boy.,text-per,t3
A rubber girl.,text-per,t3
A plastic girl.,text-per,t3
A metallic girl.,text-per,t3
A wooden girl.,text-per,t3
A fluffy girl.,text-per,t3
A glass girl.,text-per,t3
A leather girl.,text-per,t3
A rubber person.,text-per,t3
A plastic person.,text-per,t3
A metallic person.,text-per,t3
A wooden person.,text-per,t3
A fluffy person.,text-per,t3
A glass person.,text-per,t3
A leather person.,text-per,t3
A man above a bag.,per-spat-obj,t4
A man below a bag.,per-spat-obj,t4
A man on a bag.,per-spat-obj,t4
A man beside a bag.,per-spat-obj,t4
A man in a bag.,per-spat-obj,t4
A man in front of a bag.,per-spat-obj,t4
A man behind a bag.,per-spat-obj,t4
A man between bags.,per-spat-obj,t4
A man among bags.,per-spat-obj,t4
A man around bags.,per-spat-obj,t4
A man above a chair.,per-spat-obj,t4
A man below a chair.,per-spat-obj,t4
A man on a chair.,per-spat-obj,t4
A man beside a chair.,per-spat-obj,t4
A man in a chair.,per-spat-obj,t4
A man in front of a chair.,per-spat-obj,t4
A man behind a chair.,per-spat-obj,t4
A man between chairs.,per-spat-obj,t4
A man among chairs.,per-spat-obj,t4
A man around chairs.,per-spat-obj,t4
A man above a table.,per-spat-obj,t4
A man below a table.,per-spat-obj,t4
A man on a table.,per-spat-obj,t4
A man beside a table.,per-spat-obj,t4
A man in a table.,per-spat-obj,t4
A man in front of a table.,per-spat-obj,t4
A man behind a table.,per-spat-obj,t4
A man between tables.,per-spat-obj,t4
A man among tables.,per-spat-obj,t4
A man around tables.,per-spat-obj,t4
A woman above a bag.,per-spat-obj,t4
A woman below a bag.,per-spat-obj,t4
A woman on a bag.,per-spat-obj,t4
A woman beside a bag.,per-spat-obj,t4
A woman in a bag.,per-spat-obj,t4
A woman in front of a bag.,per-spat-obj,t4
A woman behind a bag.,per-spat-obj,t4
A woman between bags.,per-spat-obj,t4
A woman among bags.,per-spat-obj,t4
A woman around bags.,per-spat-obj,t4
A woman above a chair.,per-spat-obj,t4
A woman below a chair.,per-spat-obj,t4
A woman on a chair.,per-spat-obj,t4
A woman beside a chair.,per-spat-obj,t4
A woman in a chair.,per-spat-obj,t4
A woman in front of a chair.,per-spat-obj,t4
A woman behind a chair.,per-spat-obj,t4
A woman between chairs.,per-spat-obj,t4
A woman among chairs.,per-spat-obj,t4
A woman around chairs.,per-spat-obj,t4
A woman above a table.,per-spat-obj,t4
A woman below a table.,per-spat-obj,t4
A woman on a table.,per-spat-obj,t4
A woman beside a table.,per-spat-obj,t4
A woman in a table.,per-spat-obj,t4
A woman in front of a table.,per-spat-obj,t4
A woman behind a table.,per-spat-obj,t4
A woman between tables.,per-spat-obj,t4
A woman among tables.,per-spat-obj,t4
A woman around tables.,per-spat-obj,t4
A male above a bag.,per-spat-obj,t4
A male below a bag.,per-spat-obj,t4
A male on a bag.,per-spat-obj,t4
A male beside a bag.,per-spat-obj,t4
A male in a bag.,per-spat-obj,t4
A male in front of a bag.,per-spat-obj,t4
A male behind a bag.,per-spat-obj,t4
A male between bags.,per-spat-obj,t4
A male among bags.,per-spat-obj,t4
A male around bags.,per-spat-obj,t4
A male above a chair.,per-spat-obj,t4
A male below a chair.,per-spat-obj,t4
A male on a chair.,per-spat-obj,t4
A male beside a chair.,per-spat-obj,t4
A male in a chair.,per-spat-obj,t4
A male in front of a chair.,per-spat-obj,t4
A male behind a chair.,per-spat-obj,t4
A male between chairs.,per-spat-obj,t4
A male among chairs.,per-spat-obj,t4
A male around chairs.,per-spat-obj,t4
A male above a table.,per-spat-obj,t4
A male below a table.,per-spat-obj,t4
A male on a table.,per-spat-obj,t4
A male beside a table.,per-spat-obj,t4
A male in a table.,per-spat-obj,t4
A male in front of a table.,per-spat-obj,t4
A male behind a table.,per-spat-obj,t4
A male between tables.,per-spat-obj,t4
A male among tables.,per-spat-obj,t4
A male around tables.,per-spat-obj,t4
A female above a bag.,per-spat-obj,t4
A female below a bag.,per-spat-obj,t4
A female on a bag.,per-spat-obj,t4
A female beside a bag.,per-spat-obj,t4
A female in a bag.,per-spat-obj,t4
A female in front of a bag.,per-spat-obj,t4
A female behind a bag.,per-spat-obj,t4
A female between bags.,per-spat-obj,t4
A female among bags.,per-spat-obj,t4
A female around bags.,per-spat-obj,t4
A female above a chair.,per-spat-obj,t4
A female below a chair.,per-spat-obj,t4
A female on a chair.,per-spat-obj,t4
A female beside a chair.,per-spat-obj,t4
A female in a chair.,per-spat-obj,t4
A female in front of a chair.,per-spat-obj,t4
A female behind a chair.,per-spat-obj,t4
A female between chairs.,per-spat-obj,t4
A female among chairs.,per-spat-obj,t4
A female around chairs.,per-spat-obj,t4
A female above a table.,per-spat-obj,t4
A female below a table.,per-spat-obj,t4
A female on a table.,per-spat-obj,t4
A female beside a table.,per-spat-obj,t4
A female in a table.,per-spat-obj,t4
A female in front of a table.,per-spat-obj,t4
A female behind a table.,per-spat-obj,t4
A female between tables.,per-spat-obj,t4
